OrderID,CustomerID,Product,Category,Quantity,Price,OrderDate,Region,Total Amount,Order_Year,Order_Month
O100000,C1204,Phone,Electronics,3,902.03,5,EAST,2706.09,2025,5
O100001,C3006,Phone,Electronics,4,262.39,8,east,1049.56,2025,8
O100002,C1839,Bag,Fashion,1,705.17,7,north,705.17,2025,7
O100003,C5467,Book,Stationery,3,368.85,10,SOUTH,1106.5500000000002,2024,10
O100004,C4456,Laptop,Electronics,3,581.69,8,North,1745.0700000000002,2025,8
O100005,C1767,Laptop,Electronics,4,141.67,2,SOUTH,566.68,2025,2
O100006,C5139,Headphones,Electronics,1,881.63,11,SOUTH,881.63,2024,11
O100007,C5597,Laptop,Electronics,1,493.61,2,North,493.61,2025,2
O100008,C5464,Book,Stationery,3,18.08,4,SOUTH,54.239999999999995,2025,4
O100009,C4679,Watch,Fashion,2,570.03,3,SOUTH,1140.06,2025,3
O100010,C1053,Bag,Fashion,3,819.38,12,SOUTH,2458.14,2024,12
O100011,C2307,Book,Stationery,3,822.81,6,EAST,2468.43,2025,6
O100012,C3787,Bag,Fashion,3,648.5,12,SOUTH,1945.5,2024,12
O100013,C2763,Laptop,Electronics,3,886.69,12,North,2660.07,2024,12
O100014,C3757,Bag,Fashion,4,951.05,7,EAST,3804.2,2025,7
O100015,C4112,Book,Stationery,1,442.76,7,EAST,442.76,2025,7
O100016,C3817,Watch,Fashion,4,696.3,7,North,2785.2,2025,7
O100017,C1355,Laptop,Electronics,4,260.78,6,SOUTH,1043.12,2025,6
O100018,C5392,Laptop,Electronics,4,817.49,2,SOUTH,3269.96,2025,2
O100019,C4100,Headphones,Electronics,3,345.93,8,east,1037.79,2025,8
O100020,C3401,Shoes,Fashion,2,364.98,2,West,729.96,2025,2
O100021,C3962,Book,Stationery,1,221.43,6,West,221.43,2025,6
O100022,C1569,Headphones,Electronics,2,552.36,11,North,1104.72,2024,11
O100023,C2866,Bag,Fashion,4,696.4,9,SOUTH,2785.6,2024,9
O100024,C1653,Watch,Fashion,4,471.93,2,SOUTH,1887.72,2025,2
O100025,C1827,Shoes,Fashion,2,549.72,7,north,1099.44,2025,7
O100026,C4714,Bag,Fashion,2,538.66,5,north,1077.32,2025,5
O100027,C3988,Book,Stationery,2,19.02,6,north,38.04,2025,6
O100028,C3910,Bag,Fashion,4,8.59,10,North,34.36,2024,10
O100029,C3187,Shoes,Fashion,4,698.39,3,West,2793.56,2025,3
O100030,C1584,Watch,Fashion,1,607.97,1,SOUTH,607.97,2025,1
O100031,C2401,Shoes,Fashion,1,419.49,2,West,419.49,2025,2
O100032,C3005,Bag,Fashion,4,481.16,11,SOUTH,1924.64,2024,11
O100033,C4108,Headphones,Electronics,2,460.86,1,EAST,921.72,2025,1
O100034,C5562,Watch,Fashion,2,868.19,10,North,1736.38,2024,10
O100035,C3656,Bag,Fashion,1,994.04,8,EAST,994.04,2025,8
O100036,C1458,Book,Stationery,4,90.98,11,north,363.92,2024,11
O100037,C1262,Phone,Electronics,1,905.36,6,West,905.36,2025,6
O100038,C4286,Phone,Electronics,1,516.38,7,east,516.38,2025,7
O100039,C2728,Headphones,Electronics,3,608.63,10,West,1825.8899999999999,2024,10
O100040,C5646,Watch,Fashion,3,953.73,3,West,2861.19,2025,3
O100041,C3577,Phone,Electronics,3,157.39,4,North,472.16999999999996,2025,4
O100042,C5089,Book,Stationery,2,309.78,12,east,619.56,2024,12
O100043,C4758,Shoes,Fashion,4,401.89,12,east,1607.56,2024,12
O100044,C2143,Bag,Fashion,4,65.99,7,east,263.96,2025,7
O100045,C5598,Shoes,Fashion,4,600.75,3,east,2403.0,2025,3
O100046,C5788,Phone,Electronics,4,515.09,11,EAST,2060.36,2024,11
O100047,C5780,Shoes,Fashion,3,988.96,3,east,2966.88,2025,3
O100048,C2796,Book,Stationery,2,894.11,7,SOUTH,1788.22,2025,7
O100049,C2133,Phone,Electronics,2,688.58,2,SOUTH,1377.16,2025,2
O100050,C1744,Headphones,Electronics,3,75.84,1,EAST,227.52,2025,1
O100051,C1898,Laptop,Electronics,2,645.68,6,EAST,1291.36,2025,6
O100052,C2310,Book,Stationery,3,380.77,10,SOUTH,1142.31,2024,10
O100053,C4458,Bag,Fashion,4,123.93,10,North,495.72,2024,10
O100054,C4152,Headphones,Electronics,3,31.71,2,north,95.13,2025,2
O100055,C4834,Headphones,Electronics,4,344.89,4,east,1379.56,2025,4
O100056,C5532,Shoes,Fashion,4,866.36,5,east,3465.44,2025,5
O100057,C1094,Watch,Fashion,1,79.16,11,EAST,79.16,2024,11
O100058,C1938,Book,Stationery,3,518.37,9,North,1555.1100000000001,2025,9
O100059,C5398,Bag,Fashion,1,427.12,10,EAST,427.12,2024,10
